DOI:10.1016/j.jacceco.2022.101539
DOI:10.1016/j.jacceco.2014.09.002
DOI:10.1287/mnsc.2022.04040
DOI:10.1111/1911-3846.12743
DOI:10.1016/j.jaccpubpol.2023.107099
